,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AGS,Name,Verwaltungsebene,Land,2G,4G,5G DSS,5G,2G,4G,5G DSS,5G,2G,4G,5G DSS,5G
0,Bundesrepublik Deutschland,1 - Bund,,"99,96","99,62",13,"83,29",100,"99,9","94,29","98,44",100,"99,83","93,3","42,36"
01,Land Schleswig-Holstein,2 - Land,Land Schleswig-Holstein,"99,93","99,75","3,35","81,22",100,100,"93,75","99,47",100,100,97,"49,55"
02,Freie und Hansestadt Hamburg,2 - Land,Freie und Hansestadt Hamburg,100,100,0,"98,27",100,100,"99,69",100,100,100,"99,92","68,79"
03,Land Niedersachsen,2 - Land,Land Niedersachsen,"99,96","99,77","3,75","81,48",100,"99,96","95,21","99,33",100,"99,91","94,09","49,86"
04,Freie Hansestadt Bremen,2 - Land,Freie Hansestadt Bremen,100,100,0,"92,17",100,"99,99","98,88",100,100,100,"99,82","77,57"
05,Land Nordrhein-Westfalen,2 - Land,Land Nordrhein-Westfalen,"99,88","99,58","47,76","88,79",100,"99,94","98,91","99,66","99,99","99,78","94,48","36,96"
06,Land Hessen,2 - Land,Land Hessen,100,"99,8","6,27","70,38",100,"99,98","97,82","99,15",100,"99,8","91,43","45,33"
07,Land Rheinland-Pfalz,2 - Land,Land Rheinland-Pfalz,"99,99","99,48","6,59","70,64",100,"99,81","94,81","98,46","99,99","99,58","90,19","33,71"
08,Land Baden-Württemberg,2 - Land,Land Baden-Württemberg,100,"99,62","10,69","83,11",100,"99,62","91,43","94,66",100,"99,75","91,27","41,05"
09,Freistaat Bayern,2 - Land,Freistaat Bayern,"99,97","99,71","5,37","90,27",100,"99,98","98,93","99,48",100,"99,96","94,07","41,8"
10,Land Saarland,2 - Land,Land Saarland,"99,99","99,42","6,76","72,46",100,"99,95","94,67","98,93",100,100,"86,91","20,27"
11,Land Berlin,2 - Land,Land Berlin,100,100,0,"98,51",100,100,"99,83",100,100,100,"99,59","88,91"
12,Land Brandenburg,2 - Land,Land Brandenburg,"99,99","99,56",0,"74,06",100,"99,99","85,16","94,92",100,"99,93","93,32","48,24"
13,Land Mecklenburg-Vorpommern,2 - Land,Land Mecklenburg-Vorpommern,"99,95",99,"0,76","71,89",100,"99,95","69,87","96,62",100,"99,8","91,85","58,04"
14,Freistaat Sachsen,2 - Land,Freistaat Sachsen,"99,99","99,83","0,05","92,37",100,100,"88,97","98,08",100,"99,98","95,07","41,7"
15,Land Sachsen-Anhalt,2 - Land,Land Sachsen-Anhalt,100,"99,2","0,2","82,45",100,"99,32","87,68","97,7",100,"99,44","89,54","41,14"
16,Freistaat Thüringen,2 - Land,Freistaat Thüringen,100,"99,55",0,"91,81","99,99","99,82","91,99","98,11",100,"99,62","93,96","25,85"
01001,Kreisfreie Stadt Flensburg,3 - Kreis,Land Schleswig-Holstein,,,,,,,,,,,,
01002,Kreisfreie Stadt Kiel,3 - Kreis,Land Schleswig-Holstein,100,100,0,100,100,100,100,100,100,100,100,"41,72"
01003,Kreisfreie Stadt Lübeck,3 - Kreis,Land Schleswig-Holstein,100,100,0,"99,84",100,100,100,100,100,100,"99,28","79,57"
01004,Kreisfreie Stadt Neumünster,3 - Kreis,Land Schleswig-Holstein,100,100,0,"97,93",100,100,"86,21",100,100,100,100,"3,28"
01051,Kreis Dithmarschen,3 - Kreis,Land Schleswig-Holstein,100,"98,78",0,"84,23",100,100,"74,7","99,01",100,100,"99,72","26,93"
01053,Kreis Herzogtum Lauenburg,3 - Kreis,Land Schleswig-Holstein,100,100,0,"74,8",100,100,"93,65",100,100,100,"88,84","35,84"
01054,Kreis Nordfriesland,3 - Kreis,Land Schleswig-Holstein,,,,,,,,,,,,
01055,Kreis Ostholstein,3 - Kreis,Land Schleswig-Holstein,100,100,0,"89,85",100,100,"97,71",100,100,100,"99,85","59,83"
01056,Kreis Pinneberg,3 - Kreis,Land Schleswig-Holstein,100,100,0,"71,51",100,100,100,100,100,100,"99,45","39,05"
01057,Kreis Plön,3 - Kreis,Land Schleswig-Holstein,100,100,0,100,100,100,"86,22","94,08",100,100,"85,7","50,92"
01058,Kreis Rendsburg-Eckernförde,3 - Kreis,Land Schleswig-Holstein,100,"99,31",0,"60,03",100,100,"94,83","99,84",100,100,"97,24","43,73"
01059,Kreis Schleswig-Flensburg,3 - Kreis,Land Schleswig-Holstein,"99,05","99,05",0,"84,28",100,100,"97,6","99,32",100,100,"97,94","64,2"
01060,Kreis Segeberg,3 - Kreis,Land Schleswig-Holstein,100,100,"17,45","91,02",100,100,"85,12","98,22",100,100,"99,71","48,22"
01061,Kreis Steinburg,3 - Kreis,Land Schleswig-Holstein,100,"99,82",0,"73,32",100,100,"99,43",100,100,100,"98,9","46,08"
01062,Kreis Stormarn,3 - Kreis,Land Schleswig-Holstein,100,100,"6,98","85,51",100,100,"93,18","99,5",100,100,"93,13","54,37"
02000,Kreisfreie Stadt Hamburg,3 - Kreis,Freie und Hansestadt Hamburg,100,100,0,"98,27",100,100,"99,69",100,100,100,"99,92","68,79"
03101,Kreisfreie Stadt Braunschweig,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,100,100,100,100,100,"81,75"
03102,Kreisfreie Stadt Salzgitter,3 - Kreis,Land Niedersachsen,100,100,0,"99,96",100,100,100,100,100,100,100,"72,95"
03103,Kreisfreie Stadt Wolfsburg,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,100,100,100,100,100,"47,24"
03151,Landkreis Gifhorn,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,100,100,100,100,100,"97,48"
03153,Landkreis Goslar,3 - Kreis,Land Niedersachsen,100,100,0,"95,18",100,100,100,100,100,100,"97,2","40,24"
03154,Landkreis Helmstedt,3 - Kreis,Land Niedersachsen,100,"99,62",0,"94,25",100,100,"98,13",100,100,"99,83","97,09","61,73"
03155,Landkreis Northeim,3 - Kreis,Land Niedersachsen,100,100,0,"75,17",100,100,"98,23",100,100,100,"91,13","42,89"
03157,Landkreis Peine,3 - Kreis,Land Niedersachsen,100,100,0,"99,51",100,100,"99,5","99,5",100,100,"99,51","51,99"
03158,Landkreis Wolfenbüttel,3 - Kreis,Land Niedersachsen,100,"99,16",0,"65,95",100,"99,36","90,76","99,48",100,100,"93,88","72,55"
03159,Landkreis Göttingen,3 - Kreis,Land Niedersachsen,100,100,"3,02","65,38",100,"99,92","97,65","99,92",100,"97,75","83,45","8,07"
03241,Landkreis Region Hannover,3 - Kreis,Land Niedersachsen,100,100,0,"98,32",100,100,"99,44","99,88",100,100,"97,22","65,64"
03251,Landkreis Diepholz,3 - Kreis,Land Niedersachsen,100,100,0,"99,57",100,100,100,100,100,100,100,"93,47"
03252,Landkreis Hameln-Pyrmont,3 - Kreis,Land Niedersachsen,,,,,,,,,,,,
03254,Landkreis Hildesheim,3 - Kreis,Land Niedersachsen,100,"99,66",0,"68,87",100,100,"98,18","99,93",100,100,"99,82","35,74"
03255,Landkreis Holzminden,3 - Kreis,Land Niedersachsen,,,,,,,,,,,,
03256,Landkreis Nienburg (Weser),3 - Kreis,Land Niedersachsen,,,,,,,,,,,,
03257,Landkreis Schaumburg,3 - Kreis,Land Niedersachsen,100,100,"1,16","99,9",100,100,"96,3",100,100,100,"90,78","4,55"
03351,Landkreis Celle,3 - Kreis,Land Niedersachsen,,,,,,,,,,,,
03352,Landkreis Cuxhaven,3 - Kreis,Land Niedersachsen,100,"99,85",0,"59,32",100,100,"92,37",100,100,100,"96,31","56,27"
03353,Landkreis Harburg,3 - Kreis,Land Niedersachsen,100,"99,95",0,"81,38",100,"99,94","97,61","99,82",100,100,"90,86","28,58"
03354,Landkreis Lüchow-Dannenberg,3 - Kreis,Land Niedersachsen,,,,,,,,,,,,
03355,Landkreis Lüneburg,3 - Kreis,Land Niedersachsen,100,100,0,"94,85",100,100,"97,97",100,100,100,"94,65","90,29"
03356,Landkreis Osterholz,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,"86,97","94,26",100,100,"89,23","18,62"
03357,Landkreis Rotenburg (Wümme),3 - Kreis,Land Niedersachsen,100,100,0,"94,28",100,100,"99,8",100,100,100,"76,08","52,75"
03358,Landkreis Heidekreis,3 - Kreis,Land Niedersachsen,100,"99,84",0,"68,66",100,100,"92,37",100,100,100,"84,91","38,6"
03359,Landkreis Stade,3 - Kreis,Land Niedersachsen,100,100,0,"80,98",100,100,"93,31",100,100,100,"99,9","34,21"
03360,Landkreis Uelzen,3 - Kreis,Land Niedersachsen,,,,,,,,,,,,
03361,Landkreis Verden,3 - Kreis,Land Niedersachsen,100,100,0,"93,97",100,100,"98,43",100,100,100,"97,83","79,91"
03401,Kreisfreie Stadt Delmenhorst,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,100,100,100,100,100,"92,94"
03402,Kreisfreie Stadt Emden,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,100,100,100,100,100,"95,36"
03403,Kreisfreie Stadt Oldenburg (Oldb),3 - Kreis,Land Niedersachsen,100,100,0,"61,18",100,100,"99,95",100,100,100,"96,91","56,42"
03404,Kreisfreie Stadt Osnabrück,3 - Kreis,Land Niedersachsen,100,100,"2,46","46,09",100,100,"99,5",100,100,100,"97,21","55,41"
