,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AGS,Name,Verwaltungsebene,Land,2G,4G,5G DSS,5G,2G,4G,5G DSS,5G,2G,4G,5G DSS,5G
0,Bundesrepublik Deutschland,1 - Bund,,"99,86","97,01","8,02","71,31","99,57","97,36","73,3","88,92","99,71","97,24","79,27","33,1"
01,Land Schleswig-Holstein,2 - Land,Land Schleswig-Holstein,"99,99","98,8","4,05","69,28",100,"98,76","73,05","94,63",100,"99,84","87,14","51,63"
02,Freie und Hansestadt Hamburg,2 - Land,Freie und Hansestadt Hamburg,100,100,0,"99,75",100,100,"99,69",100,100,100,"99,06","77,29"
03,Land Niedersachsen,2 - Land,Land Niedersachsen,"99,91","96,33","1,89","63,98","99,6","97,29","72,9","90,67","99,85","97,82","82,8","40,38"
04,Freie Hansestadt Bremen,2 - Land,Freie Hansestadt Bremen,100,100,0,"86,94",100,100,"99,56",100,100,100,"98,68","92,72"
05,Land Nordrhein-Westfalen,2 - Land,Land Nordrhein-Westfalen,"99,81","97,68","44,37","76,57","99,92","98,37","85,32","92,62","99,7","97,47","82,01","26,3"
06,Land Hessen,2 - Land,Land Hessen,"99,83","97,75","6,72","54,47","99,56","97,32","80,86","89,24","99,81","95,81","71,44","24,05"
07,Land Rheinland-Pfalz,2 - Land,Land Rheinland-Pfalz,"99,64","95,45","6,41","51,29",99,"95,98","75,45","85,82","99,53","95,06","66,3","17,59"
08,Land Baden-Württemberg,2 - Land,Land Baden-Württemberg,"99,93","96,97","6,75","74,74","99,09","95,68","73,26","83,02","99,74","96,02","75,89","28,08"
09,Freistaat Bayern,2 - Land,Freistaat Bayern,"99,87","97,2","3,24","81,72","99,39","97,34","80,51","89,98","99,41","96,92","80,25","36,64"
10,Land Saarland,2 - Land,Land Saarland,"99,81","98,08","2,42","65,34",100,"99,38","82,42","93,42","99,99","98,71","74,47","17,96"
11,Land Berlin,2 - Land,Land Berlin,100,100,0,"99,6",100,100,"99,62",100,100,100,"98,32","92,31"
12,Land Brandenburg,2 - Land,Land Brandenburg,"99,93","96,29",0,"68,12","99,98","97,68","49,3","85,87","99,77","98,61","83,22","39,68"
13,Land Mecklenburg-Vorpommern,2 - Land,Land Mecklenburg-Vorpommern,"99,92","95,92","1,26","67,12",100,"99,08","56,51","87,91","99,87","98,1","77,18","41,27"
14,Freistaat Sachsen,2 - Land,Freistaat Sachsen,"99,79","97,25","0,19","81,3","99,8","97,58","68,01","89,69","99,85","98,8","82,47","35,84"
15,Land Sachsen-Anhalt,2 - Land,Land Sachsen-Anhalt,"99,79","96,96",0,"79,93","99,6","97,39","62,83","88,33","99,75","97,65","84,37","31,85"
16,Freistaat Thüringen,2 - Land,Freistaat Thüringen,"99,91","97,36","0,59","80,04","99,46","97,04","65,24","88,01","99,56","96,9","79,94","26,2"
01001,Kreisfreie Stadt Flensburg,3 - Kreis,Land Schleswig-Holstein,100,100,0,"68,45",100,100,"96,14","98,77",100,100,100,"77,03"
01002,Kreisfreie Stadt Kiel,3 - Kreis,Land Schleswig-Holstein,100,"99,75",0,"94,9",100,"99,93","99,7","99,81",100,100,"93,64","63,23"
01003,Kreisfreie Stadt Lübeck,3 - Kreis,Land Schleswig-Holstein,100,100,0,"90,93",100,"99,81","97,69","99,16",100,100,100,"69,34"
01004,Kreisfreie Stadt Neumünster,3 - Kreis,Land Schleswig-Holstein,100,100,0,"57,12",100,100,"95,74",100,100,100,"96,17","80,17"
01051,Kreis Dithmarschen,3 - Kreis,Land Schleswig-Holstein,100,"98,74",0,"55,7",100,"97,72","65,92","95,45",100,"99,36","88,11","32,97"
01053,Kreis Herzogtum Lauenburg,3 - Kreis,Land Schleswig-Holstein,100,"99,17","14,35","59,55",100,"99,72","77,22","93,85",100,"99,56","81,43","25,44"
01054,Kreis Nordfriesland,3 - Kreis,Land Schleswig-Holstein,"99,94","97,92",0,"78,45",100,"98,49","68,62","95,14",100,100,"79,35","60,6"
01055,Kreis Ostholstein,3 - Kreis,Land Schleswig-Holstein,100,100,0,"74,71",100,"99,69","77,31","96,28",100,100,"93,96","69,9"
01056,Kreis Pinneberg,3 - Kreis,Land Schleswig-Holstein,100,100,0,"89,21",100,"99,1","82,03",100,100,100,"95,09","55,05"
01057,Kreis Plön,3 - Kreis,Land Schleswig-Holstein,100,"99,73",0,"45,72",100,"99,72","64,16","95,17",100,"99,63",79,"51,56"
01058,Kreis Rendsburg-Eckernförde,3 - Kreis,Land Schleswig-Holstein,100,"97,58",0,"75,82",100,"99,71","69,64","91,76",100,"99,95","89,28",55
01059,Kreis Schleswig-Flensburg,3 - Kreis,Land Schleswig-Holstein,"99,99","99,2","5,49","62,64",100,"99,86","68,41","95,15",100,100,90,"59,3"
01060,Kreis Segeberg,3 - Kreis,Land Schleswig-Holstein,100,"99,14","15,43","71,6",100,"99,93","63,86","88,95",100,"99,95","86,48","49,99"
01061,Kreis Steinburg,3 - Kreis,Land Schleswig-Holstein,100,"95,35",0,"64,65",100,"89,38","61,41","90,75",100,"99,46","82,3","30,16"
01062,Kreis Stormarn,3 - Kreis,Land Schleswig-Holstein,100,"99,88","18,96","78,5",100,"99,49","86,47","97,72",100,100,"85,15","43,79"
02000,Kreisfreie Stadt Hamburg,3 - Kreis,Freie und Hansestadt Hamburg,100,100,0,"99,75",100,100,"99,69",100,100,100,"99,06","77,29"
03101,Kreisfreie Stadt Braunschweig,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,"98,54",100,100,100,"94,91","72,18"
03102,Kreisfreie Stadt Salzgitter,3 - Kreis,Land Niedersachsen,100,100,0,"91,89",100,100,100,100,100,100,"69,7","21,52"
03103,Kreisfreie Stadt Wolfsburg,3 - Kreis,Land Niedersachsen,100,100,0,"97,73",100,100,100,100,100,100,100,"99,24"
03151,Landkreis Gifhorn,3 - Kreis,Land Niedersachsen,100,"96,13",0,"55,81",100,"98,34","56,86","92,06",100,"99,78","87,07","37,17"
03153,Landkreis Goslar,3 - Kreis,Land Niedersachsen,"99,8","85,93",0,"49,5","94,87","87,06","60,29","68,63","99,95","89,6","63,85","28,23"
03154,Landkreis Helmstedt,3 - Kreis,Land Niedersachsen,100,"99,15",0,"81,2",100,"98,43","80,8","96,65",100,100,"84,98","56,98"
03155,Landkreis Northeim,3 - Kreis,Land Niedersachsen,"99,61","95,24",0,"66,57","99,46","96,57","76,58","86,23","97,87","91,65","64,98","19,31"
03157,Landkreis Peine,3 - Kreis,Land Niedersachsen,100,100,0,"92,98",100,"98,98","91,49","99,17",100,100,"95,93","36,35"
03158,Landkreis Wolfenbüttel,3 - Kreis,Land Niedersachsen,100,"98,74","6,77","78,39",100,"99,85","69,03","92,48",100,"99,73","87,85","68,06"
03159,Landkreis Göttingen,3 - Kreis,Land Niedersachsen,"99,94","96,29",0,"57,41","98,35","93,5","72,35","85,17","99,43","87,23",55,"19,26"
03241,Landkreis Region Hannover,3 - Kreis,Land Niedersachsen,100,"99,62",0,"90,35",100,"98,84","92,14","98,7",100,"99,96","96,92","65,49"
03251,Landkreis Diepholz,3 - Kreis,Land Niedersachsen,100,"98,93","3,33","80,65",100,"99,25","76,14","97,69",100,"99,63","80,26","42,01"
03252,Landkreis Hameln-Pyrmont,3 - Kreis,Land Niedersachsen,100,"99,97","30,51","81,68",100,100,"92,2","97,48",100,"98,47","89,76","56,24"
03254,Landkreis Hildesheim,3 - Kreis,Land Niedersachsen,"99,37","97,93",0,"73,25","99,78","98,36","92,61","96,8","99,27","97,98","90,86","35,11"
03255,Landkreis Holzminden,3 - Kreis,Land Niedersachsen,"98,15","95,35",0,"37,31","99,61","96,12","70,44","79,12","99,78","89,87","61,79","30,9"
03256,Landkreis Nienburg (Weser),3 - Kreis,Land Niedersachsen,100,"94,23",0,"80,11",100,"97,3","64,98","83,93",100,"98,65","81,09","51,48"
03257,Landkreis Schaumburg,3 - Kreis,Land Niedersachsen,100,"99,96","14,69","94,05",100,"99,27","90,56","99,28",100,"99,94","88,04","34,74"
03351,Landkreis Celle,3 - Kreis,Land Niedersachsen,100,"98,42",0,"46,5",100,"95,93","69,92","88,04",100,100,"86,18","62,01"
03352,Landkreis Cuxhaven,3 - Kreis,Land Niedersachsen,100,"99,62",0,"51,05",100,"99,04","63,43","94,49",100,100,"80,78","41,05"
03353,Landkreis Harburg,3 - Kreis,Land Niedersachsen,100,"97,38",0,"72,87",100,"99,48","67,73","83,2",100,100,"94,97","37,34"
03354,Landkreis Lüchow-Dannenberg,3 - Kreis,Land Niedersachsen,100,"93,51",0,"63,97",100,"96,45","50,9","86,61",100,"99,85","91,88","59,44"
03355,Landkreis Lüneburg,3 - Kreis,Land Niedersachsen,100,"91,52",0,"55,88",100,"96,18","54,17","83,8",100,"98,92","86,28","58,91"
03356,Landkreis Osterholz,3 - Kreis,Land Niedersachsen,100,100,0,"79,91",100,"98,84","62,75","88,44",100,100,"83,77","5,74"
03357,Landkreis Rotenburg (Wümme),3 - Kreis,Land Niedersachsen,100,"96,98",0,"60,2",100,"99,39","64,89","93,67",100,"98,57","85,14","34,05"
03358,Landkreis Heidekreis,3 - Kreis,Land Niedersachsen,100,"90,61",0,"43,86",100,"92,87","45,93","74,85",100,"99,02","85,15","43,92"
03359,Landkreis Stade,3 - Kreis,Land Niedersachsen,100,"95,81",0,"51,75",100,"99,62","83,44","90,99",100,100,"91,58","46,34"
03360,Landkreis Uelzen,3 - Kreis,Land Niedersachsen,100,"95,62",0,"48,82",100,"94,69","53,69","81,9",100,"99,73","75,98","55,62"
03361,Landkreis Verden,3 - Kreis,Land Niedersachsen,100,100,0,"96,33",100,"99,12","74,42","89,58",100,100,"99,53","82,88"
03401,Kreisfreie Stadt Delmenhorst,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,100,100,100,100,100,100
03402,Kreisfreie Stadt Emden,3 - Kreis,Land Niedersachsen,100,100,0,100,100,100,100,100,100,100,100,100
03403,Kreisfreie Stadt Oldenburg (Oldb),3 - Kreis,Land Niedersachsen,100,100,0,"79,17",100,100,"92,74",100,100,100,"92,74","26,6"
03404,Kreisfreie Stadt Osnabrück,3 - Kreis,Land Niedersachsen,100,100,0,"76,24",100,100,100,100,100,100,100,"56,39"
03405,Kreisfreie Stadt Wilhelmshaven,3 - Kreis,Land Niedersachsen,100,100,0,"36,1",100,100,100,100,100,100,100,100
03451,Landkreis Ammerland,3 - Kreis,Land Niedersachsen,100,"99,35",0,"56,16",100,100,"30,7","98,75",100,100,"64,96",0
03452,Landkreis Aurich,3 - Kreis,Land Niedersachsen,100,"99,52",0,"83,26",100,"99,65","81,49","99,13",100,100,"94,98","24,66"
03453,Landkreis Cloppenburg,3 - Kreis,Land Niedersachsen,100,"97,33",0,"38,93",100,"99,25","68,82","91,4",100,"99,83","81,74","25,79"
03454,Landkreis Emsland,3 - Kreis,Land Niedersachsen,"99,96","93,15",4,"38,38",100,"97,77","78,97","95,69",100,"99,8",83,"21,49"
03455,Landkreis Friesland,3 - Kreis,Land Niedersachsen,100,"92,01",0,"54,4",100,"99,95","79,62","90,77",100,100,"96,15","34,66"
03456,Landkreis Grafschaft Bentheim,3 - Kreis,Land Niedersachsen,100,93,"11,13","54,06",100,"99,66","79,17","95,46",100,"98,16","83,62","23,24"
03457,Landkreis Leer,3 - Kreis,Land Niedersachsen,100,100,0,"75,85",100,"98,88","77,88","97,35",100,100,"98,55","79,78"
03458,Landkreis Oldenburg,3 - Kreis,Land Niedersachsen,100,"97,72",0,"66,25",100,"99,6","78,4","99,41",100,100,"77,81","18,38"
03459,Landkreis Osnabrück,3 - Kreis,Land Niedersachsen,100,"99,56","3,71","45,63",100,"98,4","78,87","95,81",100,"99,71","83,72","28,35"
03460,Landkreis Vechta,3 - Kreis,Land Niedersachsen,100,100,0,"97,75",100,"98,65","70,63","99,43",100,100,"91,96","32,29"
03461,Landkreis Wesermarsch,3 - Kreis,Land Niedersachsen,100,"97,67",0,"75,65",100,"98,46","67,25","96,21",100,100,"90,65","48,64"
03462,Landkreis Wittmund,3 - Kreis,Land Niedersachsen,"99,99","97,18",0,"68,58",100,"99,79","74,63","92,92",100,"99,6","95,28","24,8"
04011,Kreisfreie Stadt Bremen,3 - Kreis,Freie Hansestadt Bremen,100,100,0,100,100,100,"99,48",100,100,100,"99,2","91,91"
04012,Kreisfreie Stadt Bremerhaven,3 - Kreis,Freie Hansestadt Bremen,100,100,0,"21,35",100,100,100,100,100,100,"96,09","96,82"
05111,Kreisfreie Stadt Düsseldorf,3 - Kreis,Land Nordrhein-Westfalen,100,100,"12,55","98,05",100,100,"99,89",100,100,100,"98,48","66,65"
05112,Kreisfreie Stadt Duisburg,3 - Kreis,Land Nordrhein-Westfalen,100,100,"3,6","74,13",100,100,100,100,100,100,100,"3,45"
05113,Kreisfreie Stadt Essen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"5,8","98,59",100,100,100,100,100,100,"98,8","56,64"
05114,Kreisfreie Stadt Krefeld,3 - Kreis,Land Nordrhein-Westfalen,100,100,"3,2","25,01",100,100,100,100,100,100,100,"44,17"
05116,Kreisfreie Stadt Mönchengladbach,3 - Kreis,Land Nordrhein-Westfalen,100,100,"17,68","89,37",100,100,"99,24",100,100,100,"99,67","45,72"
05117,Kreisfreie Stadt Mülheim an der Ruhr,3 - Kreis,Land Nordrhein-Westfalen,100,100,"47,09","78,81",100,100,100,100,100,100,100,"74,83"
05119,Kreisfreie Stadt Oberhausen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"3,42","58,38",100,100,100,100,100,100,"98,86","81,69"
05120,Kreisfreie Stadt Remscheid,3 - Kreis,Land Nordrhein-Westfalen,100,100,"35,24","60,35",100,"99,84","88,64","96,64",100,"98,48","65,48","7,08"
05122,Kreisfreie Stadt Solingen,3 - Kreis,Land Nordrhein-Westfalen,100,100,0,"85,66",100,100,"96,41","98,21",100,"98,29","92,36","40,55"
05124,Kreisfreie Stadt Wuppertal,3 - Kreis,Land Nordrhein-Westfalen,100,100,"10,69","98,76",100,100,"92,8","97,45",100,"99,67","73,15","28,4"
05154,Kreis Kleve,3 - Kreis,Land Nordrhein-Westfalen,"99,32","94,78","42,57","66,68",100,"96,8","83,22","95,23",100,"98,97","87,84","15,98"
05158,Kreis Mettmann,3 - Kreis,Land Nordrhein-Westfalen,100,100,"59,67","83,42",100,100,"97,06","99,58",100,100,"90,58","29,81"
05162,Kreis Rhein-Kreis Neuss,3 - Kreis,Land Nordrhein-Westfalen,100,100,"97,88",100,100,100,"98,22","99,86",100,100,"94,88","11,61"
05166,Kreis Viersen,3 - Kreis,Land Nordrhein-Westfalen,100,"97,05","65,15","86,42",100,"99,28","90,33","98,25",100,"99,33","95,33","21,6"
05170,Kreis Wesel,3 - Kreis,Land Nordrhein-Westfalen,100,"99,6","87,57","92,25",100,"99,95","94,4","99,5",100,100,"94,55","31,32"
05314,Kreisfreie Stadt Bonn,3 - Kreis,Land Nordrhein-Westfalen,100,100,"29,15",100,100,100,100,100,100,100,"99,68","57,23"
05315,Kreisfreie Stadt Köln,3 - Kreis,Land Nordrhein-Westfalen,100,100,"21,35","98,62",100,100,"99,97",100,100,100,"99,07","52,92"
05316,Kreisfreie Stadt Leverkusen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"2,79","56,26",100,100,100,100,100,100,100,"46,87"
05334,Kreis Städteregion Aachen,3 - Kreis,Land Nordrhein-Westfalen,"98,91","93,74","41,67","73,86","99,95","95,09","68,88","75,14",100,"96,91","71,41","13,42"
05358,Kreis Düren,3 - Kreis,Land Nordrhein-Westfalen,100,"99,49","90,84","94,86",100,"98,54","81,63","97,49",100,100,"93,04","40,23"
05362,Kreis Rhein-Erft-Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,"99,74","78,55","95,51",100,"99,9","94,38","99,43",100,100,"92,73","38,99"
05366,Kreis Euskirchen,3 - Kreis,Land Nordrhein-Westfalen,"97,51","85,59","58,15","64,34","99,93","96,25","60,45","71,27","96,58","93,8","67,23","13,9"
05370,Kreis Heinsberg,3 - Kreis,Land Nordrhein-Westfalen,100,"99,21","84,88","91,29",100,"99,63","89,74","99,43",100,100,"94,94","15,92"
05374,Kreis Oberbergischer Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,"99,26","39,71","69,39",100,"99,19","87,25","94,72",100,"97,25","74,58","25,31"
05378,Kreis Rheinisch-Bergischer Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,100,"52,93","80,95",100,100,100,100,100,100,"67,9","17,88"
05382,Kreis Rhein-Sieg-Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,"98,34","62,24","77,59","99,94","96,43","84,57","90,46","99,24","95,66","82,73","17,22"
05512,Kreisfreie Stadt Bottrop,3 - Kreis,Land Nordrhein-Westfalen,100,100,"25,04",100,100,100,100,100,100,100,100,"42,93"
05513,Kreisfreie Stadt Gelsenkirchen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"0,75",100,100,100,100,100,100,100,"98,94","43,87"
05515,Kreisfreie Stadt Münster,3 - Kreis,Land Nordrhein-Westfalen,100,100,0,"99,72",100,100,"99,11","99,92",100,"99,92","98,8","31,84"
05554,Kreis Borken,3 - Kreis,Land Nordrhein-Westfalen,100,"98,38","71,59","89,23",100,"99,26","86,54","97,99",100,"99,71","89,75","17,96"
05558,Kreis Coesfeld,3 - Kreis,Land Nordrhein-Westfalen,100,"97,48","58,58","63,72",100,"98,87","87,64","95,78",100,"98,52","77,95","34,77"
05562,Kreis Recklinghausen,3 - Kreis,Land Nordrhein-Westfalen,100,"99,56","60,01","85,14",100,"99,84","95,32","99,89",100,"98,91","94,57",45
05566,Kreis Steinfurt,3 - Kreis,Land Nordrhein-Westfalen,100,"99,26","49,15","72,62",100,"99,56","90,4","99,62",100,"99,81","89,94","18,62"
05570,Kreis Warendorf,3 - Kreis,Land Nordrhein-Westfalen,100,"98,12","64,71","71,85",100,"99,34","91,31","98,48",100,"99,16","80,16","31,09"
05711,Kreisfreie Stadt Bielefeld,3 - Kreis,Land Nordrhein-Westfalen,100,100,"17,83","91,53",100,100,"99,56",100,100,100,"94,6","56,72"
05754,Kreis Gütersloh,3 - Kreis,Land Nordrhein-Westfalen,100,"99,99","75,47","94,58",100,"99,94","96,77","99,28",100,"99,86","85,86","9,8"
05758,Kreis Herford,3 - Kreis,Land Nordrhein-Westfalen,100,100,"1,42","90,7",100,100,"99,4",100,100,100,"88,8","14,93"
05762,Kreis Höxter,3 - Kreis,Land Nordrhein-Westfalen,100,"96,14","16,33","62,29","99,59","97,73","82,86","93,69","97,6","96,09","76,73","17,74"
05766,Kreis Lippe,3 - Kreis,Land Nordrhein-Westfalen,100,"99,08","8,73","74,55",100,"99,35","81,82","87,48",100,"96,24","74,22","15,79"
05770,Kreis Minden-Lübbecke,3 - Kreis,Land Nordrhein-Westfalen,100,"99,55",2,"80,65",100,"99,97","84,45","98,72",100,"99,51","90,34","27,25"
05774,Kreis Paderborn,3 - Kreis,Land Nordrhein-Westfalen,100,"98,92","32,49","68,14",100,"98,81","83,1","96,8",100,"98,75","87,02","11,51"
05911,Kreisfreie Stadt Bochum,3 - Kreis,Land Nordrhein-Westfalen,100,100,"1,88","99,43",100,100,100,100,100,100,100,"59,5"
05913,Kreisfreie Stadt Dortmund,3 - Kreis,Land Nordrhein-Westfalen,100,100,"15,03","97,2",100,100,100,100,100,100,"99,75","46,23"
05914,Kreisfreie Stadt Hagen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"46,37","92,19",100,100,"88,15",92,100,"99,46","69,25","24,2"
05915,Kreisfreie Stadt Hamm,3 - Kreis,Land Nordrhein-Westfalen,100,"99,42","16,44","18,34",100,100,100,100,100,100,"91,23","64,85"
05916,Kreisfreie Stadt Herne,3 - Kreis,Land Nordrhein-Westfalen,100,100,"8,71","99,1",100,100,100,100,100,100,100,"63,66"
05954,Kreis Ennepe-Ruhr-Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,100,"57,93","89,61",100,100,"94,73","99,59",100,"99,97","89,61","40,43"
05958,Kreis Hochsauerlandkreis,3 - Kreis,Land Nordrhein-Westfalen,100,"94,67","29,33","53,51","99,19","92,89","66,67","74,5",100,"89,26","48,4","13,21"
05962,Kreis Märkischer Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,"99,6","53,14","76,56","99,94","95,82","68,72","76,71",100,"95,75","59,98","18,62"
05966,Kreis Olpe,3 - Kreis,Land Nordrhein-Westfalen,100,"97,13","28,92","45,32","99,84","95,43","63,73","68,83","99,55","81,87","52,34","9,45"
05970,Kreis Siegen-Wittgenstein,3 - Kreis,Land Nordrhein-Westfalen,"99,83","93,85","25,98","43,33","99,86","97,25","71,76","87,93",100,"94,06","65,88","22,61"
05974,Kreis Soest,3 - Kreis,Land Nordrhein-Westfalen,"99,46","96,61","70,86","83,22","99,91","98,37","84,54","94,26","99,81","96,41","85,34","30,61"
05978,Kreis Unna,3 - Kreis,Land Nordrhein-Westfalen,100,"99,56","70,76","73,4",100,"99,92","96,86","98,99",100,"99,71","88,81","34,68"
06411,Kreisfreie Stadt Darmstadt,3 - Kreis,Land Hessen,100,"98,05","0,89","56,93","99,86","99,61","94,75","96,91",100,"97,44","88,75","24,17"
06412,Kreisfreie Stadt Frankfurt am Main,3 - Kreis,Land Hessen,100,100,"1,55","93,4",100,"99,88","99,56",100,100,100,"99,83","99,97"
06413,Kreisfreie Stadt Offenbach am Main,3 - Kreis,Land Hessen,100,100,"16,59","83,31",100,100,100,100,100,100,100,"73,7"
06414,Kreisfreie Stadt Wiesbaden,3 - Kreis,Land Hessen,100,"98,05",0,"96,4",100,100,"92,89","99,07",100,"99,59","93,93","51,82"
06431,Landkreis Bergstraße,3 - Kreis,Land Hessen,100,"98,39","13,93","63,41","99,9","98,99","83,71","87,22",100,"94,84","68,46","19,17"
06432,Landkreis Darmstadt-Dieburg,3 - Kreis,Land Hessen,100,"99,66","4,79","44,87",100,"99,89","89,89","95,37",100,"99,93","82,5","34,08"
06433,Landkreis Groß-Gerau,3 - Kreis,Land Hessen,100,100,"4,51","93,38",100,"99,9","96,05","97,62",100,100,"97,59","41,36"
06434,Landkreis Hochtaunuskreis,3 - Kreis,Land Hessen,"99,89","96,14",0,37,"99,73","97,55","65,79","79,55","98,57","92,9","43,31","0,05"
06435,Landkreis Main-Kinzig-Kreis,3 - Kreis,Land Hessen,100,"99,99",0,"59,2",100,"99,05","91,57","92,6",100,"97,4","63,84","26,42"
06436,Landkreis Main-Taunus-Kreis,3 - Kreis,Land Hessen,100,"99,35",0,"46,47",100,100,"98,92","99,99",100,100,"88,25","40,53"
06437,Landkreis Odenwaldkreis,3 - Kreis,Land Hessen,100,"98,23",0,"48,55","99,06","97,65","77,23","85,86",100,"86,11","47,43","8,15"
06438,Landkreis Offenbach,3 - Kreis,Land Hessen,100,"99,97","4,83","47,54",100,100,"96,03","99,17",100,"99,89","86,02","22,96"
06439,Landkreis Rheingau-Taunus-Kreis,3 - Kreis,Land Hessen,100,"96,12","0,35","52,59","99,18","97,69","72,42","90,19","99,75","91,62","60,2","18,88"
06440,Landkreis Wetteraukreis,3 - Kreis,Land Hessen,100,"98,01","5,43","67,3",100,"99,62","90,79","96,54",100,"98,02","83,34","6,4"
06531,Landkreis Gießen,3 - Kreis,Land Hessen,"99,26","92,84","12,71","46,65",100,"95,03","79,7","87,64","98,83","93,12","62,66","13,11"
06532,Landkreis Lahn-Dill-Kreis,3 - Kreis,Land Hessen,100,"99,7","8,01","31,89","99,89","99,39","86,67",94,"99,05","98,23","66,51","24,76"
06533,Landkreis Limburg-Weilburg,3 - Kreis,Land Hessen,"99,68","99,4",0,"74,54",100,100,"91,65","96,85","99,9","96,18","89,3","15,16"
06534,Landkreis Marburg-Biedenkopf,3 - Kreis,Land Hessen,"98,89","96,98","27,06","60,13","97,52","95,79","81,6","86,79","99,2","93,1","56,48","10,9"
06535,Landkreis Vogelsbergkreis,3 - Kreis,Land Hessen,"99,93","96,61","11,04","67,59",100,"96,79","83,9","90,74",100,"97,33","65,05","35,57"
06611,Kreisfreie Stadt Kassel,3 - Kreis,Land Hessen,100,100,"5,23","73,07",100,"99,66","92,02","97,87",100,100,"93,87","33,5"
06631,Landkreis Fulda,3 - Kreis,Land Hessen,100,"95,87","7,9","44,68","99,89","95,24","78,11","84,71","99,94","95,57","69,45","28,47"
06632,Landkreis Hersfeld-Rotenburg,3 - Kreis,Land Hessen,100,"99,17","5,44","56,9",100,"99,75","86,8","93,39",100,"98,04","64,21","28,76"
06633,Landkreis Kassel,3 - Kreis,Land Hessen,"99,84","96,72","19,52","33,85","98,7","93,51","67,97","85,36","99,92","94,78","66,86","21,1"
06634,Landkreis Schwalm-Eder-Kreis,3 - Kreis,Land Hessen,"99,85","98,03","1,24","59,35","99,96","98,76","80,66","88,75",100,"96,26","82,76","29,58"
06635,Landkreis Waldeck-Frankenberg,3 - Kreis,Land Hessen,"99,5","96,75","5,33","29,44","99,15","91,83","54,58","71,12","99,92","96,88","65,95","13,64"
06636,Landkreis Werra-Meißner-Kreis,3 - Kreis,Land Hessen,100,"95,83",0,"41,45","99,13","92,64","60,96","79,33",100,"88,89","60,2","14,46"
07111,Kreisfreie Stadt Koblenz,3 - Kreis,Land Rheinland-Pfalz,100,"99,77",0,"24,57",100,100,"94,14","98,84",100,"96,73","90,86","49,6"
07131,Landkreis Ahrweiler,3 - Kreis,Land Rheinland-Pfalz,100,"99,14","9,51","30,93","99,84","97,07","77,83","90,56","99,08","95,3","63,14","13,57"
07132,Landkreis Altenkirchen (Westerwald),3 - Kreis,Land Rheinland-Pfalz,100,"99,84","15,24","58,95",100,"99,98","82,59","96,89",100,"99,93","71,98","26,68"
07133,Landkreis Bad Kreuznach,3 - Kreis,Land Rheinland-Pfalz,100,"98,45","20,24","71,65","99,39","93,63","71,31","82,92",100,"93,8","63,35","25,02"
07134,Landkreis Birkenfeld,3 - Kreis,Land Rheinland-Pfalz,100,"93,36",0,"78,8","98,2","95,18","65,01","80,95",100,"95,14","44,61","20,18"
07135,Landkreis Cochem-Zell,3 - Kreis,Land Rheinland-Pfalz,"97,61","90,87","0,53","45,57","97,48","94,69","77,15","90,25",100,"93,46","55,97","2,54"
